Ognoo,Iteminfid,Uldegdel
2022-06-08,201104060000000029,90.00
2022-06-08,201205090000000004,774.00
2022-06-08,201207090000000130,5.00
2022-06-08,210327509663500011,69.00
2022-06-08,211116153741172477,0.00
2022-06-08,220406222153830970,32.00
2022-06-09,2007121328749,10.00
2022-06-09,2007121328895,91.00
2022-06-09,2007121329180,420.00
2022-06-09,2007121329377,-63.00
2022-06-09,2007121329379,0.00
2022-06-09,2007121329380,193.00
2022-06-09,2007121329381,163.00
2022-06-09,2007121331288,77.00
2022-06-09,2007121332656,7.00
2022-06-09,2007121332659,14.00
2022-06-09,2007121334813,9.00
2022-06-09,120620429994600001,0.00
2022-06-09,120620429994600002,0.00
2022-06-09,120620429994600013,0.00
2022-06-09,120620429994600026,0.00
2022-06-09,140224536726700000,17.00
2022-06-09,150203456119500001,1.00
2022-06-09,150930603566800001,49.00
2022-06-09,151229506383600001,31.00
2022-06-09,151229527874800001,0.00
2022-06-09,160121610393900001,0.00
2022-06-09,160513343594000001,20.00
2022-06-09,160826685080700001,414.00
2022-06-09,170407678293400001,4.00
2022-06-09,170428381482200001,211.00
2022-06-09,171030000763800001,599.00
2022-06-09,180213012331300001,593.00
2022-06-09,180327043373200005,26.00
2022-06-09,180604114334600001,112.00
2022-06-09,180604114351700001,74.00
2022-06-09,180604114383000001,922.00
2022-06-09,180704149959400001,43.00
2022-06-09,180706153232200002,107.00
2022-06-09,180706153232200003,184.00
2022-06-09,180706153232200005,74.00
2022-06-09,180920233009700325,-88.00
2022-06-09,190603577080600001,-3.00
2022-06-09,190909745530500004,540.00
2022-06-09,199009170000000056,135.00
2022-06-09,200813226771700001,541.00
2022-06-09,200826241374700001,1.00
2022-06-09,201104060000000029,109.00
2022-06-09,201205090000000004,740.00
2022-06-09,201207090000000130,5.00
2022-06-09,210327509663500011,57.00
2022-06-09,211116153741172477,0.00
2022-06-09,220406222153830970,22.00
2022-06-10,2007121328749,10.00
2022-06-10,2007121328895,62.00
2022-06-10,2007121329180,408.00
2022-06-10,2007121329377,-130.00
2022-06-10,2007121329379,-3.00
2022-06-10,2007121329380,182.00
2022-06-10,2007121329381,157.00
2022-06-10,2007121331288,61.00
2022-06-10,2007121332656,7.00
2022-06-10,2007121332659,14.00
2022-06-10,2007121334813,8.00
2022-06-10,120620429994600001,0.00
2022-06-10,120620429994600002,0.00
2022-06-10,120620429994600013,0.00
2022-06-10,120620429994600026,0.00
2022-06-10,140224536726700000,6.00
2022-06-10,150203456119500001,1.00
2022-06-10,150930603566800001,124.00
2022-06-10,151229506383600001,30.00
2022-06-10,151229527874800001,0.00
2022-06-10,160121610393900001,0.00
2022-06-10,160513343594000001,20.00
2022-06-10,160826685080700001,410.00
2022-06-10,170407678293400001,24.00
2022-06-10,170428381482200001,193.00
2022-06-10,171030000763800001,599.00
2022-06-10,180213012331300001,580.00
2022-06-10,180327043373200005,21.00
2022-06-10,180604114334600001,97.00
2022-06-10,180604114351700001,68.00
2022-06-10,180604114383000001,846.00
2022-06-10,180704149959400001,43.00
